Show,Season,Name,Age,Hometown,Job,Eliminated
The Bachelor,1,Amanda Marsh,23,"Chanute, Kansas",Event Planner,Winner
The Bachelor,1,Trista Rehn,29,"Miami, Florida",Miami Heat Dancer,Runner-up
The Bachelor,1,Shannon Oliver,24,"Dallas, Texas",Financial Management Consultant,Week 5
The Bachelor,1,Kim,24,"Tempe, Arizona",Nanny,Week 4
The Bachelor,1,Cathy Grimes,22,"Terre Haute, Indiana",Graduate Student,Week 3
The Bachelor,1,Christina Stencil,28,"Bonita, California",Attorney,Week 3
The Bachelor,1,LaNease Adams,23,"Los Angeles, California",Actress,Week 3
The Bachelor,1,Rhonda Rittenhouse,28,"Woodward, Oklahoma",Commercial Real Estate Agent,Week 3
The Bachelor,1,Alexa,27,"Beverly Hills, California",Special Ed. Teacher,Week 2
The Bachelor,1,Amy Anzel,28,"New York, New York",Production Coordinator,Week 2
The Bachelor,1,Angela,25,"Avondale, Arizona",Hooters Waitress,Week 2
The Bachelor,1,Angelique Madrid,27,"Burbank, California",Actress,Week 2
The Bachelor,1,Katie,23,"Malden, Massachusetts",Power Tool Sales Rep.,Week 2
The Bachelor,1,Melissa,25,"Tempe, Arizona",Photographer,Week 2
The Bachelor,1,Tina Chen,27,"Plano, Texas",Graduate Student,Week 2
The Bachelor,1,Amber,29,"Los Angeles, California",Business Development Director,Week 1
The Bachelor,1,Daniela,30,"Seattle, Washington",Neuropsychologist,Week 1
The Bachelor,1,Denise,30,"Honolulu, Hawaii",Doctor,Week 1
The Bachelor,1,Jackie,22,"Pittsburgh, Pennsylvania",Bar Manager,Week 1
The Bachelor,1,Jill,31,"Chicago, Illinois",Retail Manager,Week 1
The Bachelor,1,Kristina Jenkins,27,"Los Angeles, California",Advertising Executive,Week 1
The Bachelor,1,Lisa Gold,29,"Dallas, Texas",Attorney,Week 1
The Bachelor,1,Paula,24,"Swansea, Massachusetts",Insurance Representative,Week 1
The Bachelor,1,Rachel,29,"Eastchester, New York",6th Grade Teacher,Week 1
The Bachelor,1,Wendi Plotnik,26,"Dallas, Texas",Technology Specialist,Week 1
The Bachelor,2,Helene Eksterowicz,27,"Gloucester, New Jersey",School Psychologist,Winner
The Bachelor,2,Brooke Smith,22,"Albertville, Alabama",College Student,Runner-up
The Bachelor,2,Gwen Gioia,31,"Philadelphia, Pennsylvania",Executive Recruiter,Week 6
